Customer,Address,norm_address,lat,lon
Kroger - Euless 000451,"1060 N. Main, Euless, TX 76039","1060 North Main Street, Euless, Texas 76039, United States",32.850188,-97.081498
Kroger - Maple 000509,"4901 Maple Avenue Dallas , TX 75235","4901 Maple Avenue, Dallas, Texas 75235, United States",32.814156,-96.82895
HEB - Hancock Center,"1000 E. 41st. St. Austin , TX 78751","1000 East 41st Street, Austin, Texas 78751, United States",30.300255,-97.719577
Kroger - Mckinney 000565,"1801 N Lake Forest Dr, McKinney, TX 75071","1801 North Lake Forest Drive, McKinney, Texas 75071, United States",33.216346,-96.681405
Kroger - Midlothian - 000596,"2200 FM 663, Midlothian, TX 76065","2200 Fm 663, Midlothian, Texas 76065, United States",32.458526,-96.992949
Kroger - Ray White 000532,"5241 N Tarrant Pkwy, Fort Worth, TX 76244","5241 North Tarrant Parkway, Fort Worth, Texas 76244, United States",32.896103,-97.270947
Kroger - Rufe Snow 000537,"2061 Rufe Snow Keller , TX 76248","2061 Rufe Snow Drive, Keller, Texas 76248, United States",32.896996,-97.23731
Kroger - Teasley Denton 000570,"5021 Teasley Lane Denton , TX 76201","5021 Teasley Ln, Denton, Texas 76210, United States",33.14442,-97.10475
Kroger - Greenville Allen 000548,"1210 N. Greenville Ave. Allen , TX 75002","1210 North Greenville Avenue, Allen, Texas 75002, United States",33.116143,-96.651682
HEB - Austin 16 - 183/Lakeline,"14028 NORTH US 183 AUSTIN , TX 78717","14028 US Route 183, Austin, Texas 78750, United States",30.445244,-97.787962
Kroger - Cross Timbers 000456,"2709 Cross Timbers Flower Mound , TX 75028","2709 Cross Timbers Road, Flower Mound, Texas 75028, United States",33.035152,-97.071957
Kroger - Custer Plano 000581,"2925 Custer Rd. Plano , TX 75075","2925 Custer Road, Plano, Texas 75075, United States",33.038867,-96.73482
HEB - AUSTIN 26,"2800 EAST WHITESTONE CEDAR PARK , TX 78613","2800 East Whitestone Boulevard, Cedar Park, Texas 78613, United States",30.532522,-97.785162
HEB - Buffalo Speedway,"5225 BUFFALO SPEEDWAY HOUSTON , TX 77005","5225 Buffalo Speedway, Houston, Texas 77005, United States",29.726987,-95.427298
HEB - Montrose Market,"1701 WEST ALABAMA STREET HOUSTON, TX 77098","1701 West Alabama Street, Houston, Texas 77098, United States",29.737496,-95.403389
HEB - 028 - Bay Colony - League City,"2955 SOUTH GULF FREEWAY, LEAGUE CITY, TX  77573","2955 Gulf Fwy S, League City, Texas 77573, United States",29.47577,-95.10644
HEB - 596 - Houston Katy,"6711 SOUTH FRY RD KATY, TX 77494","6711 South Fry Road, Katy, Texas 77494, United States",29.71267,-95.775861
HEB - 697 - HOUSTON - LEAGUE CITY,"2755 E. LEAGUE CITY PARKWAY LEAGUE CITY , TX 77573","2755 League City Parkway, League City, Texas 77573, United States",29.504721,-95.040789
HEB - 713 - Clear Lake - Houston,"3501 Clear Lake City Blvd, Houston, TX 77059","3501 Clear Lake City Boulevard, Houston, Texas 77059, United States",29.6027,-95.1282
HEB - PEARLAND 2,"2710 PEARLAND PARKWAY PEARLAND , TX 77581","2710 Pearland Parkway, Pearland, Texas 77581, United States",29.558068,-95.264992
HEB - ROUND ROCK 5,"250 UNIVERSITY BLVD. ROUND ROCK , TX 78665","250 University Boulevard, Round Rock, Texas 78665, United States",30.561127,-97.688183
HEB - Waco Valley Mills,"1821 S Valley Mills Dr Waco , TX 76711","1821 South Valley Mills Drive, Waco, Texas 76711, United States",31.522982,-97.13705
Kroger - Bedford 000521,"2109 Harwood Rd, Bedford, TX 76021","2109 East Harwood Road, Bedford, Texas 76021, United States",32.853468,-97.133222
HEB - 579 - Woodlands Market,"9595 SIX PINES ROAD WOODLANDS , TX 77380","9595 Six Pines Drive, Spring, Texas 77380, United States",30.167602,-95.462184
HEB - Far West,"H-E-B, 7015 Village Center Dr, Austin, TX 78731","7015 Village Center Drive, Austin, Texas 78731, United States",30.352302,-97.756498
Kroger - Bethany Allen 000544,"1212 E. Bethany Dr. Allen , TX 75002","1212 E Bethany Dr, Allen, Texas 75002, United States",33.082681,-96.644443
HEB - Houston Heights,"2300 N Shepherd Dr, Houston, TX 77008","2300 North Shepherd Drive, Houston, Texas 77008, United States",29.807345,-95.408911
HEB - San Antonio 45,"23635 Wilderness Oak, San Antonio, TX 78258","23635 Wilderness Oak, San Antonio, Texas 78258, United States",29.662171,-98.500472
HEB - SAN FELIPE,"5885 SAN FELIPE HOUSTON , TX 77057","5885 San Felipe Street, Houston, Texas 77057, United States",29.749443,-95.484306
HEB - San Marcos 243,"641 E Hopkins St, San Marcos, TX 78666","641 East Hopkins Street, San Marcos, Texas 78666, United States",29.884345,-97.932501
HEB - SUGARLAND - 627,"530 HIGHWAY 6 SUGARLAND , TX 77479","530 Texas Highway 6, Sugar Land, Texas 77478, United States",29.608148,-95.641667
HEB - 720 - Kingwood,"4517 Kingwood Dr, Kingwood, TX 77345","4517 Kingwood Drive, Humble, Texas 77345, United States",30.053046,-95.183775
HEB - College Station,"1900 Texas Avenue South, College Station, TX 77840","1900 Texas Avenue, College Station, Texas 77840, United States",30.612684,-96.318668
HEB - Mont Blevieu,"13401 Interstate 10 E, Mont Belvieu, TX 77523","13401 Interstate 10, Baytown, Texas 77015, United States",29.826715,-94.849872
HEB - Austin 29 Westlake,"701 N Capital of Texas Hwy Bld C, West Lake Hills, TX 78746","701 North Capital of Texas Highway, Austin, Texas 78746, United States",30.308268,-97.825766
HEB - Austin 5 Spicewood,"12860 RESEARCH BLVD. AUSTIN , TX 78750","12860 Research Boulevard, Austin, Texas 78750, United States",30.434349,-97.772703
HEB - 426 - Waxahachie,"800 US-77, Waxahachie, TX 75165","800 North US Highway 77, Waxahachie, Texas 75165, United States",32.411669,-96.840146
HEB - San Antonio 23,"5910 Babcock Rd, San Antonio, TX 78240","5910 Babcock Road, San Antonio, Texas 78240, United States",29.526731,-98.603377
Kroger - Lake Highlands 000511,"10677 E. NW Hwy #300, Dallas, TX 75238","10677 East Northwest Highway, Dallas, Texas 75238, United States",32.865274,-96.701684
Kroger - Richardson Coit 000517,"160 N Coit Rd, Richardson, TX 75080","160 North Coit Road, Richardson, Texas 75080, United States",32.952915,-96.767641
Kroger - Mckinney University 000488,"1707 W University Dr, McKinney, TX 75069","1707 West University Drive, Mc Kinney, Texas 75069, United States",33.215516,-96.633037
HEB - Baytown,"6430 Garth Rd, Baytown, TX 77521","6430 Garth Road, Baytown, Texas 77521, United States",29.795448,-94.978073
HEB - Jones Crossing,"11675 Wellborn Rd, College Station, TX 77845","11675 Wellborn Road, College Station, Texas 77845, United States",30.582998,-96.321919
HEB - PEARLAND PLUS,"FM 518, 205 BUSINESS CTR DR. PEARLAND , TX 77584","Business Center Drive, Pearland, Texas 77584, United States",29.5574491,-95.390932
HEB - Bee Cave #21,"12400 TX-71, Bee Cave, TX 78738","12400 Texas Highway 71, Austin, Texas 78738, United States",30.302773,-97.931591
HEB - Friendswood,"701 W Parkwood Ave, Friendswood, TX 77546","701 West Parkwood Avenue, Friendswood, Texas 77546, United States",29.506195,-95.190125
HEB Tech Ridge 25,"500 W Canyon Ridge Dr, Austin, TX 78753","500 West Canyon Ridge Drive, Austin, Texas 78752, United States",30.404167,-97.672543
HEB - SAN ANTONIO 39 PLUS,"1150 NW LOOP 1604 SAN ANTONIO , TX 78248","1150 N Loop 1604 W, San Antonio, Texas 78248, United States",29.58937,-98.5252
HEB - SAN ANTONIO 45 PLUS,"21025 U, US-281, San Antonio, TX 78258","North US Highway 281, San Antonio, Texas 78232, United States",29.5747783,-98.4797575265132
HEB - Spring,"5251 Farm to Market 2920, Spring, TX 77388","5251 Fm 2920, Spring, Texas 77388, United States",30.07229,-95.50156
HEB - Deer Park,"4701 East Blvd, La Porte, TX 77536","4701 East Boulevard, La Porte, Texas 77571, United States",29.666676,-95.096816
Kroger - Garland 000557,"6850 N Shiloh Rd, Garland, TX 75044","6850 North Shiloh Road, Garland, Texas 75044, United States",32.976379,-96.664149
HEB - DRIPPING SPRINGS,"598 E, HWY US 290 DRIPPING SPRINGS , TX 78620","East US Highway 290, Dripping Springs, Texas 78620, United States",30.1942556,-98.0491315
HEB - Cypress,"28550 US-290, Cypress, TX 77433","28550 Northwest Freeway, Cypress, Texas 77433, United States",29.991836,-95.744978
HEB - 727 - Richmond,"23500 Berry Pkwy, Richmond, TX 77469","23500 Berry Pkwy, Richmond, Texas 77469, United States",29.551082,-95.746643
HEB - Cypress Market,"24224 Northwest Fwy, Cypress, TX 77429","24224 Northwest Freeway, Cypress, Texas 77429, United States",29.956872,-95.673223
HEB - GRANT/SPRING CYPRESS,"14100 SPRING CYPRESS RD CYPRESS , TX 77429","14100 Spring Cypress Road, Cypress, Texas 77429, United States",30.003408,-95.63833
HEB - Pasadena,"6210 Fairmont Pkwy, Pasadena, TX 77505","6210 Fairmont Parkway, Pasadena, Texas 77505, United States",29.648776,-95.144635
HEB - Roundrock,"16900 N. FM 620, Round Rock, TX 78681","16900 R.M. 620, Round Rock, Texas 78681, United States",30.500614,-97.722819
HEB - SAN ANTONIO 41 PLUS,"10718 POTRANCO SAN ANTONIO , TX 78251","10718 Potranco Road, San Antonio, Texas 78251, United States",29.433785,-98.703479
HEB - Humble,"7405 FM 1960 EAST HUMBLE , TX 77346","7405 Fm 1960 East, Humble, Texas 77346, United States",29.99862,-95.16476
HEB - SPRING CYPRESS,"2121 FM 2920 SPRING , TX 77388","2121 Fm 2920, Spring, Texas 77388, United States",30.069178,-95.44983
HEB - PIN OAK (KATY 2),"25675 NELSON WAY (IH10 & PINN OAK ROAD) KATY , TX 77494","25675 Nelson Way, Katy, Texas 77494, United States",29.773504,-95.822377
HEB - SAN ANTONIO 26,"17460 IH 35 NORTH SAN ANTONIO , TX 78154","17460 Interstate 35 North, Schertz, Texas 78154, United States",29.597502,-98.279421
